bangla word,translitered bangla word
অপবিত্র_স্থান,apabitra_sthan
অপবিত্র_ভূমি,apabitra_bhoomi
নৈতিক_কাজ,naitik_kaaj
সত্কার্য,satkarya
ভালো_কাজ,bhalo_kaaj
উত্পন্ন,utpann
জাত,jaat
উত্পাদিত,utpadit
প্রসূত,prasoot
সূত,sut
দুষ্কর্ম,dushkarm
অপকর্ম,apakarm
পাপকাজ,papakaj
বাজে_কাজ,baje_kaaj
অনৈতিক_কাজ,anaitik_kaaj
অনায়াস,anyas
বিনা_পরিশ্রম,bina_parishram
অক্লেশ,aklesh
সহজ,sahaj
প্রযত্নহীন,prayatnhin
যত্ন_সহকারে,yatn_sahakare
যত্নপূর্বক,yatnapurvak
প্রযত্ন_সহকারে,prayatn_sahakare
ভাব,bhav
রক্তদান,raktadan
রক্ত_দান,rakta_daan
অনুত্তীর্ণ,anuttirn
ফেল,fel
ভুক্তভোগী,bhuktavogi
ভোগী,bhogi
অনুসারে,anusar
মাফিক,mafik
অনুকূল,anukul
অনুযায়ী,anuyayi
অনুরোধ_পত্র,anurodh_patr
আর্জি,argy
আবেদন,avedan
দরখাস্ত,darkhast
অনুবাদ,anubad
ভাষান্তরণ,bhashantaran
তর্জ্জমা,tarjjma
ভাষান্তর,bhashantar
অনুদিত_কৃতি,anudit_kruti
অনুবাদিত_কৃতি,anuvadit_kruti
ভাষান্তরিত_কৃতি,bhashantarit_kruti
অনুবাদ_কর্ম,anubad_karm
যজ্ঞ_অনুষ্ঠান,yajna_anusthan
যজ্ঞ_কর্ম,yajna_karm
অনুদিত,anudit
অনুবাদিত,anuvadit
ভাষান্তরিত,bhashantarit
পরজন,parajan
পর,par
অপর,apar
স্বপক্ষীয়,swapkshin
নিজের,nijer
আত্মপক্ষীয়,atmapakshin
স্বপক্ষী,swapakshi
উচ্ছিষ্ট,uchsisht
ভুক্তাবশেষ,bhuktavashesh
অশুভ_ইঙ্গিত,ashubh_ingit
অশুভ_লক্ষণ,ashubh_lakshan
