bangla word,translitered bangla word
রমজানে,ramajane
কাঁচা,kaanchaa
মরিচ,marich
আমদানিতে,aamdanite
শুল্ক,shulk
প্রত্যাহারের,pratyaharer
দাবি,dabee
বিদেশ,videsh
ব্যবসায়ীদের,vyavasaiider
শীর্ষ,sheersh
সংগঠন,sangathan
বাংলাদেশ,bangladesh
শিল্প,shilp
বণিক,banik
সমিতি,smiti
ফেডারেশন,federeshan
এফবিসিসিআই,elbisiciai
সংগঠনটি,sangaivanti
বলছে,balche
মরিচের,maricher
সরবরাহ,sarvarah
বাড়ানো,barano
মূল্য,muly
কমাতে,kamate
রমজান,ramajan
মাসের,masser
বাকি,baki
দিনগুলোর,dingulor
পণ্য,panya
আরোপিত,aropit
শতাংশ,shatansh
সম্পূরক,sampoorak
প্রত্যাহার,pratyahar
প্রয়োজন,prayojan
দেশীয়,deshiya
রপ্তানি,raptani
নিষিদ্ধের,nishiddher
সুপারিশ,superish
করেছিল,karesil
সংগঠনটির,sangaconti
সুপারিশের,suparisher
পরিপ্রেক্ষিতে,paripreekshite
বাণিজ্য,banisya
মন্ত্রণালয়,mantranalaya
নিষিদ্ধও,nishiddhao
বাজারে,bajar
উল্টো,ulto
প্রভাব,prabhava
নিষিদ্ধ,nishidh
কেজি,keji
১০০,100
টাকা,taka
২০০,200
সংবাদ,sangbad
বিজ্ঞপ্তিতে,bijyptite
শনিবার,shanibar
ভারত,bharat
আমদানি,aamdani
গতকালই,gatkalai
দেশে,desh
পৌঁছার,punchar
কথা,katha
জনতা,janata
ব্যাংকের,vyanker
প্রশিক্ষণ,prashikshan
ব্যাংক,vyank
লিমিটেড,limited
ব্যবসায়,vyavsa
মুখ্য,mukhya
ঝুঁকি,jhunki
ব্যবস্থাপনা,vyavasthapana
শীর্ষক,shirshak
পাঁচ,panch
দিনব্যাপী,dinvyapi
কোর্সের,courser
আয়োজন,yojan
ইনস্টিটিউটে,institut
আয়োজিত,yojit
কর্মসূচিতে,karmasuchite
কর্মকর্তা,karmakarta
অংশ,aansh
নেন,nen
কোর্স,course
সমাপনী,samapani
অনুষ্ঠানে,anusthan
প্রশিক্ষণার্থীদের,prashikshanarthider
সনদ,sanad
বিতরণ,vitharan
উপব্যবস্থাপনা,upavyavasthapana
পরিচালক,parichalak
ইনস্টিটিউটের,instituter
তপন,tapan
কুমার,kumar
ঘোষ,ghosh
কোর্সটি,corsety
সমন্বয়,samanva
অনুষদ,anushad
সদস্য,sadasya
শিপ্রা,shipra
বিশ্বাস,vishwas
কোর্সে,course
সম্পদ,sampada
দায়,da
বৈদেশিক,baideshik
বিনিময়,binimoy
মানি,maani
লন্ডারিং,landaring
অভ্যন্তরীণ,abhyantarin
নিয়ন্ত্রণ,niyantran
পরিপালন,paripalan
আলোচনা,alochana
পরিবেশবান্ধব,pariweshvandhav
ব্যাংকিং,vyanking
পরিবেশ,pariwesh
সম্পর্কেও,samparkeo
বিজ্ঞপ্তি,bijdhpti
অলস,alas
কৃষি,krushi
খাতে,khaate
বিনিয়োগের,binioger
বাণিজ্যিক,banigyik
ব্যাংকগুলোতে,vyankagulote
পড়ে,pade
বিপুল,bipul
পরিমাণ,pariman
এনজিও,njio
ক্ষুুদ্রঋণ,khudrarun
সংস্থার,sansthar
কৃষকের,krishaker
হাতে,haate
পৌঁছানোর,ponchanora
ব্যবস্থা,vyavastha
ব্যবস্থার,vyavasthar
সার্বিক,sarvik
উন্নয়নের,unnayaner
লক্ষ্যে,lakshye
কৃষিঋণের,krishiruner
সুদ,sud
অঙ্কে,anke
নামিয়ে,namie
আনার,anar
প্রস্তাব,prastab
ক্ষুদ্রঋণ,khudrarun
সংস্থাসমূহের,sansthasmuher
নেটওয়ার্ক,network
নেতারা,netara
গতকাল,gatkal
রোববার,robbar
জাতীয়,jatiya
প্রেসক্লাব,pressclab
মিলনায়তনে,milanayatane
সম্মেলনে,sammelne
এসব,esav
কোস্ট,coast
ট্রাস্ট,trust
সিডিএফ,cedief
ক্রেডিট,credit
অ্যান্ড,and
ডেভেলপমেন্ট,develpament
ফোরাম,forum
ইনাফি,inafi
ইন্টারন্যাশনাল,internashnal
অলটারনেটিভ,alternative
ফাইন্যান্সিয়াল,financial
ইনস্টিটিউশন,institushan
যৌথভাবে,yauthbhave
সম্মেলনের,sammelner
সিডিএফের,cidiefer
নির্বাহী,nirvahi
আবদুল,abdul
আউয়াল,aual
সম্মেলন,sammelan
সঞ্চালনা,sanchalana
লিখিত,likhit
পাঠ,path
ট্রাস্টের,traster
সহকারী,sahakari
তারিক,tarik
সাইদ,said
হারুন,haroon
মোস্তফা,mostapha
কামাল,kamal
আকন্দ,akand
বাংলাদেশের,bangladesher
আতিকুন্নবী,atikunnavi
রেজাউল,rejaul
করিম,karim
চৌধুরী,chaudhuri
প্রমুখ,pramukh
