সিলভারি নগর, যেন এক রাজবাড়ি
 ২০০৮-এর শরতে প্রথমবারের মতো এবারডিনে গিয়ে ইউনিয়ন স্ট্রিটের সৌন্দর্যে অভিভূত হয়ে অবাক চোখে একটা সড়ক
 দেখেছিলাম। একটা নগরকে প্রতিনিধিত্ব করতে পৃথিবীর অন্য কোথাও কোনো সড়ক এত প্রভাবশালী ভূমিকা রেখেছে কি
 না, জানা নেই। সেদিন এমন লম্বা আর প্রশস্ত সড়ক দেখে ভেবেছিলাম, যদি আমাদের দেশের কোনো
 নগরে এমন সড়ক থাকতো, তা হলে হরতালের দিন ছেলেরা বোমার ভয় উড়িয়ে দিয়ে রাস্তায় নির্দ্বিধায়
 ছক্কা পেটাত। তখনই চিন্তা করেছিলাম সড়কটা নিয়ে ‘প্রথম আলো’য় লেখা পাঠাব। রাস্তার দুপাশে রুপালি গ্রানাইট
 পাথরের বিশাল বিশাল একরঙা স্থাপত্য দেখে মনে হয়েছিল, নাহ, সড়ক নয়, স্থাপত্যশিল্প নিয়ে লেখা পাঠাতে
 হবে। পরে এবারডিন হার্বারের বিশাল বিশাল জাহাজ দেখে মনে হলো—নাহ, ওসব কিছুই না, শিল্পনগর হিসেবে
 পরিচিতি দিয়ে এবারডিনকে নিয়ে তথ্যনির্ভর প্রবন্ধ লিখতে হবে।আসলে এবারডিনের এত কিছু দেখে আমি আত্মহারা হয়ে
 গিয়েছিলাম। এবারডিনকে মনে হয়েছে সৌন্দর্যে ভরা এক আধ্যাত্মিক নগর হিসেবে। এই আধ্যাত্মিক ভাবটা এসেছে সমুদ্রের
 কারণে, যা আমাকে লিখতে বসতে বাধ্য করেছে।যা-ই হোক, শুরু করছি সমুদ্র দিয়েই। সৌন্দর্যের আধার উত্তর
 মহাসাগর এবারডিনকে মমতার বেড়ি দিয়ে পৃথিবীর এক অনন্য সমুদ্রকন্যা হিসেবে উপস্থাপন করেছে। পৃথিবীর সবচেয়ে খরস্রোতা এই
 মহাসমুদ্রকে এবারডিনের বিভিন্ন কোণ থেকে ভিন্ন ভিন্ন রকম বলে মনে হয়। এই সৌন্দর্য যৌবনপ্রাপ্ত হয়
 মেঘশূন্য নীল আকাশি-রৌদ্রোজ্জ্বল দিন কিংবা ভরা চাঁদের আবেদনময়ী মোহনীয় রাতে। মহাসাগরের টলটলে পানিতে উপচে পড়া
 চাঁদ-সুরুজের আলোর প্রতিফলনে পুরো নগর তখন চকচক করতে থাকে। কিছুদিন আগে এমন এক ভরা চাঁদের
 রাতে কজন তরুণ-তরুণী মিলে আমরা উত্তর মহাসাগরের সঙ্গে যুক্ত ডন নদীর মোহনায় ছিলাম। কাঠের টুকরোতে
